Barcode 	 Correct reads 	 Corrected reads
A03C37B76D84N501	1	0
A03C37B94D19N502	1	0
A03C38B51D75N501	1	0
A03C38B87D27N501	1	0
A03C39B31D14N502	1	0
A03C40B11D83N501	1	0
A03C40B18D03N502	1	0
A03C40B34D81N502	1	0
A03C40B36D02N501	1	0
A03C40B41D49N502	1	0
A03C40B42D78N502	1	0
A03C40B75D72N501	1	0
A03C40B93D13N502	1	0
A03C41B62D69N502	1	0
A03C42B33D63N502	1	0
A03C42B65D75N501	1	0
A03C44B09D06N502	1	0
A03C44B23D25N502	1	0
A03C44B53D11N502	1	0
A03C44B55D38N502	1	0
A03C44B81D96N502	1	0
A03C45B20D17N501	1	0
A03C45B29D08N502	1	0
A03C47B53D23N502	1	0
A03C48B96D56N502	1	0
A03C49B36D77N501	1	0
A03C49B37D15N502	1	0
A03C50B43D39N502	1	0
A03C51B72D24N502	1	0
A03C52B82D67N501	1	0
A03C53B02D92N502	1	0
A03C53B31D96N502	1	0
A03C53B54D76N501	1	0
A03C53B67D45N502	1	0
A03C53B80D05N502	1	0
A03C53B88D51N501	1	0
A03C54B30D87N502	1	0
A03C54B47D55N501	1	0
A03C54B49D96N502	1	0
A03C54B50D61N501	1	0
A03C54B52D65N502	1	0
A03C55B02D59N501	1	0
A03C56B46D78N502	1	0
A03C56B88D83N501	1	0
A03C57B04D43N502	1	0
A03C57B70D67N501	1	0
A03C57B76D51N502	1	0
A03C57B83D82N501	1	0
A03C57B93D23N501	1	0
A03C58B07D74N502	1	0
A03C58B27D63N502	1	0
A03C58B55D23N502	1	0
A03C58B68D88N502	1	0
A03C59B11D31N501	1	0
A03C59B31D42N502	1	0
A03C59B61D49N502	1	0
A03C59B84D11N501	1	0
A03C61B63D50N502	1	0
A03C61B90D16N501	1	0
A03C62B07D22N501	1	0
A03C62B57D69N501	1	0
A03C62B82D29N502	1	0
A03C62B82D83N501	1	0
A03C63B28D30N502	1	0
A03C63B57D74N502	1	0
A03C63B88D54N502	0	1
A03C66B07D03N501	1	0
A03C66B41D14N502	1	0
A03C66B56D41N502	1	0
A03C67B37D76N501	1	0
A03C67B51D04N502	1	0
A03C67B67D28N501	1	0
A03C67B84D15N501	1	0
A03C68B95D81N502	1	0
A03C69B02D34N501	1	0
A03C69B80D88N502	1	0
A03C70B57D10N501	1	0
A03C70B70D61N501	1	0
A03C73B06D72N501	1	0
A03C73B09D63N501	2	0
A03C73B40D68N501	1	0
A03C73B54D22N502	1	0
A03C73B61D20N502	1	0
A03C74B31D09N502	1	0
A03C74B35D56N502	1	0
A03C74B42D72N502	1	0
A03C74B59D77N501	1	0
A03C74B61D42N501	1	0
A03C74B84D57N501	1	0
A03C74B91D23N502	1	0
A03C74B92D01N502	1	0
A03C75B45D87N502	1	0
A03C76B06D34N501	1	0
A03C76B21D88N501	1	0
A03C77B48D60N502	1	0
A03C77B90D61N502	0	1
A03C78B04D93N502	1	0
A03C78B08D81N501	1	0
A03C78B36D22N501	1	0
A03C78B41D37N502	1	0
A03C78B80D57N502	1	0
A03C78B92D53N501	1	0
A03C79B75D80N501	1	0
A03C80B41D46N501	1	0
A03C80B83D45N501	1	0
A03C80B85D84N502	1	0
A03C81B23D85N502	1	0
A03C81B71D58N502	1	0
A03C81B80D83N501	0	1
A03C82B04D01N502	1	0
A03C82B37D34N502	1	0
A03C82B54D19N502	1	0
A03C82B85D12N502	1	0
